category_id,product_id,name,unit,measure,weight,img
8,1000,쌀,1,kg,1.35,쌀_img
8,1001,찹쌀,1,kg,0.117,찹쌀_img
8,1002,콩,500,g,0.2,콩_img
8,1003,팥,500,g,0.167,팥_img
8,1004,녹두,500,g,0.167,녹두_img
9,1005,고구마,1,kg,0.3,고구마_img
9,1006,감자,100,g,3.833,감자_img
9,1007,양배추,1,포기,0.3,양배추_img
9,1008,시금치,1,kg,0.233,시금치_img
9,1009,상추,100,g,1.333,상추_img
9,1010,얼갈이배추,1,kg,0.217,얼갈이배추_img
9,1011,수박,1,개,0.817,수박_img
9,1012,참외,10,개,3.883,참외_img
9,1013,오이,10,개,0.202,오이_img
9,1014,호박,1,개,1.667,호박_img
9,1015,토마토,1,kg,0.5,토마토_img
9,1016,딸기,100,g,8.0,딸기_img
9,1017,당근,1,kg,0.633,당근_img
9,1018,열무,1,kg,0.267,열무_img
9,1019,풋고추,100,g,0.767,풋고추_img
9,1020,붉은고추,100,g,0.683,붉은고추_img
9,1021,양파,1,kg,0.917,양파_img
9,1022,파,1,kg,0.433,파_img
9,1023,생강,1,kg,0.067,생강_img
9,1024,고춧가루,1,kg,0.233,고춧가루_img
9,1025,깻잎,100,g,1.167,깻잎_img
9,1026,피망,100,g,0.383,피망_img
9,1027,파프리카,200,g,1.0,파프리카_img
9,1028,멜론,1,개,0.333,멜론_img
9,1029,깐마늘,1,kg,0.433,깐마늘(국산)_img
9,1030,방울토마토,1,kg,0.917,방울토마토_img
10,1031,참깨,500,g,0.25,참깨_img
10,1032,땅콩,100,g,0.517,땅콩_img
9,1033,느타리버섯,100,g,1.5,느타리버섯_img
9,1034,팽이버섯,150,g,1.5,팽이버섯_img
9,1035,새송이버섯,100,g,3.0,새송이버섯_img
10,1036,호두,100,g,0.417,호두_img
10,1037,아몬드,100,g,1.0,아몬드_img
11,1038,사과,10,개,0.4,사과_img
11,1039,배,10,개,0.067,배_img
11,1040,복숭아,10,개,0.6,복숭아_img
11,1041,포도,1,kg,0.933,포도_img
11,1042,단감,10,개,0.517,단감_img
11,1043,바나나,100,g,2.0,바나나_img
11,1044,참다래,10,개,0.383,참다래_img
11,1045,파인애플,1,개,1.033,파인애플_img
11,1046,오렌지,10,개,0.65,오렌지_img
11,1047,레몬,10,개,0.067,레몬_img
11,1048,체리,100,g,1.183,체리_img
11,1049,건포도,100,g,0.2,건포도_img
11,1050,건블루베리,100,g,0.533,건블루베리_img
11,1051,망고,1,개,0.217,망고_img
9,1052,배추,1,포기,0.633,배추_img
9,1053,무,1,개,0.75,무_img
11,1054,감귤,10,개,2.167,감귤_img
