product_id,date_type,research_date,price
1001,m,2014-08-01,4422.0
1001,m,2014-09-01,4412.0
1001,m,2014-10-01,4446.0
1001,m,2014-11-01,4409.0
1001,m,2014-12-01,4443.0
1001,m,2015-01-01,4419.0
1001,m,2015-02-01,4399.0
1001,m,2015-03-01,4421.0
1001,m,2015-04-01,4440.0
1001,m,2015-05-01,4415.0
1001,m,2015-06-01,4389.0
1001,m,2015-07-01,4396.0
1001,m,2015-08-01,4451.0
1001,m,2015-09-01,4436.0
1001,m,2015-10-01,4483.0
1001,m,2015-11-01,4449.0
1001,m,2015-12-01,4476.0
1001,m,2016-01-01,4453.0
1001,m,2016-02-01,4405.0
1001,m,2016-03-01,4408.0
1001,m,2016-04-01,3996.0
1001,m,2016-05-01,4038.0
1001,m,2016-06-01,4064.0
1001,m,2016-07-01,3972.0
1001,m,2016-08-01,3931.0
1001,m,2016-09-01,3844.0
1001,m,2016-10-01,3889.0
1001,m,2016-11-01,3878.0
1001,m,2016-12-01,3934.0
1001,m,2017-01-01,3931.0
1001,m,2017-02-01,3855.0
1001,m,2017-03-01,3705.0
1001,m,2017-04-01,3822.0
1001,m,2017-05-01,3775.0
1001,m,2017-06-01,3778.0
1001,m,2017-07-01,3663.0
1001,m,2017-08-01,3772.0
1001,m,2017-09-01,3786.0
1001,m,2017-10-01,3816.0
1001,m,2017-11-01,3923.0
1001,m,2017-12-01,3864.0
1001,m,2018-01-01,3952.0
1001,m,2018-02-01,3984.0
1001,m,2018-03-01,4092.0
1001,m,2018-04-01,4140.0
1001,m,2018-05-01,4143.0
1001,m,2018-06-01,4089.0
1001,m,2018-07-01,4035.0
1001,m,2018-08-01,4041.0
1001,m,2018-09-01,4225.0
1001,m,2018-10-01,4527.0
1001,m,2018-11-01,4787.0
1001,m,2018-12-01,4926.0
1001,m,2019-01-01,4887.0
1001,m,2019-02-01,4970.0
1001,m,2019-03-01,5000.0
1001,m,2019-04-01,5089.0
1001,m,2019-05-01,5148.0
1001,m,2019-06-01,5098.0
1001,m,2019-07-01,4761.0
1001,m,2019-08-01,4809.0
1001,m,2019-09-01,4885.0
1001,m,2019-10-01,4789.0
1001,m,2019-11-01,4526.0
1001,m,2019-12-01,4411.0
1001,m,2020-01-01,4422.0
1001,m,2020-02-01,4429.0
1001,m,2020-03-01,4397.0
1001,m,2020-04-01,4627.0
1001,m,2020-05-01,4488.0
1001,m,2020-06-01,4304.0
1001,m,2020-07-01,4354.0
1001,m,2020-08-01,4342.0
1001,m,2020-09-01,4429.0
1001,m,2020-10-01,4495.0
1001,m,2020-11-01,4620.0
1001,m,2020-12-01,4832.0
1001,m,2021-01-01,4946.0
1001,m,2021-02-01,4958.0
1001,m,2021-03-01,4917.0
1001,m,2021-04-01,4972.0
1001,m,2021-05-01,5000.0
1001,m,2021-06-01,4995.0
1001,m,2021-07-01,5016.0
1001,m,2021-08-01,5058.0
1001,m,2021-09-01,5023.0
1001,m,2021-10-01,5025.0
1001,m,2021-11-01,4892.0
1001,m,2021-12-01,4849.0
1001,m,2022-01-01,4768.0
1001,m,2022-02-01,4650.0
1001,m,2022-03-01,4548.0
1001,m,2022-04-01,3843.0
1001,m,2022-05-01,4068.0
1001,m,2022-06-01,3919.0
1001,m,2022-07-01,3748.0
1001,m,2022-08-01,3830.0
1001,m,2022-09-01,3893.0
1001,m,2022-10-01,3893.0
1001,m,2022-11-01,3893.0
1001,m,2022-12-01,3893.0
1002,m,2012-01-01,5081.0
1002,m,2012-02-01,4738.0
1002,m,2012-03-01,4956.0
1002,m,2012-04-01,4755.0
1002,m,2012-05-01,4792.0
1002,m,2012-06-01,5164.0
1002,m,2012-07-01,5049.0
1002,m,2012-08-01,5054.0
1002,m,2012-09-01,4955.0
1002,m,2012-10-01,4947.0
1002,m,2012-11-01,4856.0
1002,m,2012-12-01,4847.0
1002,m,2013-01-01,5330.0
1002,m,2013-02-01,5512.0
1002,m,2013-03-01,5841.0
1002,m,2013-04-01,5675.0
1002,m,2013-05-01,5621.0
1002,m,2013-06-01,5599.0
1002,m,2013-07-01,5464.0
1002,m,2013-08-01,5469.0
1002,m,2013-09-01,5490.0
1002,m,2013-10-01,5470.0
1002,m,2013-11-01,5286.0
1002,m,2013-12-01,5110.0
1002,m,2014-01-01,4746.0
1002,m,2014-02-01,4734.0
1002,m,2014-03-01,4678.0
1002,m,2014-04-01,4602.0
1002,m,2014-05-01,4459.0
1002,m,2014-06-01,4442.0
1002,m,2014-07-01,4424.0
1002,m,2014-08-01,4451.0
1002,m,2014-09-01,4403.0
1002,m,2014-10-01,4379.0
1002,m,2014-11-01,4349.0
1002,m,2014-12-01,4361.0
1002,m,2015-01-01,4357.0
1002,m,2015-02-01,4321.0
1002,m,2015-03-01,4298.0
1002,m,2015-04-01,4297.0
1002,m,2015-05-01,4293.0
1002,m,2015-06-01,4309.0
1002,m,2015-07-01,4297.0
1002,m,2015-08-01,4152.0
1002,m,2015-09-01,4255.0
1002,m,2015-10-01,4312.0
1002,m,2015-11-01,4277.0
1002,m,2015-12-01,4306.0
1002,m,2016-01-01,4282.0
1002,m,2016-02-01,4253.0
1002,m,2016-03-01,4198.0
1002,m,2016-04-01,4051.0
1002,m,2016-05-01,4115.0
1002,m,2016-06-01,4238.0
1002,m,2016-07-01,4287.0
1002,m,2016-08-01,4135.0
1002,m,2016-09-01,4083.0
1002,m,2016-10-01,4083.0
1002,m,2016-11-01,4130.0
1002,m,2016-12-01,4309.0
1002,m,2017-01-01,4293.0
1002,m,2017-02-01,4293.0
1002,m,2017-03-01,4156.0
1002,m,2017-04-01,4325.0
1002,m,2017-05-01,4470.0
1002,m,2017-06-01,4550.0
1002,m,2017-07-01,4600.0
1002,m,2017-08-01,4596.0
1002,m,2017-09-01,4562.0
1002,m,2017-10-01,4548.0
1002,m,2017-11-01,4572.0
1002,m,2017-12-01,4521.0
1002,m,2018-01-01,4627.0
1002,m,2018-02-01,4681.0
1002,m,2018-03-01,4666.0
1002,m,2018-04-01,4665.0
1002,m,2018-05-01,4668.0
1002,m,2018-06-01,4671.0
1002,m,2018-07-01,4684.0
1002,m,2018-08-01,4670.0
1002,m,2018-09-01,4673.0
1002,m,2018-10-01,4662.0
1002,m,2018-11-01,4703.0
1002,m,2018-12-01,4826.0
1002,m,2019-01-01,4844.0
1002,m,2019-02-01,4810.0
1002,m,2019-03-01,4796.0
1002,m,2019-04-01,4837.0
1002,m,2019-05-01,4824.0
1002,m,2019-06-01,4831.0
1002,m,2019-07-01,4781.0
1002,m,2019-08-01,4739.0
1002,m,2019-09-01,4776.0
1002,m,2019-10-01,4771.0
1002,m,2019-11-01,4768.0
1002,m,2019-12-01,4753.0
1002,m,2020-01-01,4779.0
1002,m,2020-02-01,4755.0
1002,m,2020-03-01,4726.0
1002,m,2020-04-01,4683.0
1002,m,2020-05-01,4655.0
1002,m,2020-06-01,4651.0
1002,m,2020-07-01,4733.0
1002,m,2020-08-01,4744.0
1002,m,2020-09-01,4759.0
1002,m,2020-10-01,4861.0
1002,m,2020-11-01,4975.0
1002,m,2020-12-01,5273.0
1002,m,2021-01-01,5315.0
1002,m,2021-02-01,5315.0
1002,m,2021-03-01,5485.0
1002,m,2021-04-01,5485.0
1002,m,2021-05-01,5576.0
1002,m,2021-06-01,5578.0
1002,m,2021-07-01,5580.0
1002,m,2021-08-01,5590.0
1002,m,2021-09-01,5642.0
1002,m,2021-10-01,5627.0
1002,m,2021-11-01,5294.0
1002,m,2021-12-01,5313.0
1002,m,2022-01-01,5454.0
1002,m,2022-02-01,5838.0
1002,m,2022-03-01,5834.0
1002,m,2022-04-01,5809.0
1002,m,2022-05-01,5804.0
1002,m,2022-06-01,5807.0
1002,m,2022-07-01,5734.0
1002,m,2022-08-01,5488.0
1002,m,2022-09-01,5499.0
1002,m,2022-10-01,5499.0
1002,m,2022-11-01,5499.0
1002,m,2022-12-01,5499.0
1003,m,2012-01-01,7614.0
1003,m,2012-02-01,7168.0
1003,m,2012-03-01,7484.0
1003,m,2012-04-01,7568.0
1003,m,2012-05-01,7664.0
1003,m,2012-06-01,7880.0
1003,m,2012-07-01,7711.0
1003,m,2012-08-01,7823.0
1003,m,2012-09-01,8083.0
1003,m,2012-10-01,8210.0
1003,m,2012-11-01,8434.0
1003,m,2012-12-01,9592.0
1003,m,2013-01-01,10959.0
1003,m,2013-02-01,10190.0
1003,m,2013-03-01,10792.0
1003,m,2013-04-01,10180.0
1003,m,2013-05-01,10458.0
1003,m,2013-06-01,10430.0
1003,m,2013-07-01,10418.0
1003,m,2013-08-01,10444.0
1003,m,2013-09-01,10538.0
1003,m,2013-10-01,10487.0
1003,m,2013-11-01,9745.0
1003,m,2013-12-01,8501.0
1003,m,2014-01-01,7289.0
1003,m,2014-02-01,7415.0
1003,m,2014-03-01,7280.0
1003,m,2014-04-01,6506.0
1003,m,2014-05-01,7365.0
1003,m,2014-06-01,7198.0
1003,m,2014-07-01,6526.0
1003,m,2014-08-01,6435.0
1003,m,2014-09-01,7054.0
1003,m,2014-10-01,6979.0
1003,m,2014-11-01,6813.0
1003,m,2014-12-01,6649.0
1003,m,2015-01-01,6496.0
1003,m,2015-02-01,5913.0
1003,m,2015-03-01,5388.0
1003,m,2015-04-01,5446.0
1003,m,2015-05-01,5441.0
1003,m,2015-06-01,5624.0
1003,m,2015-07-01,5745.0
1003,m,2015-08-01,5683.0
1003,m,2015-09-01,5607.0
1003,m,2015-10-01,5638.0
1003,m,2015-11-01,5560.0
1003,m,2015-12-01,5590.0
1003,m,2016-01-01,5651.0
1003,m,2016-02-01,5208.0
1003,m,2016-03-01,5499.0
1003,m,2016-04-01,5190.0
1003,m,2016-05-01,5304.0
1003,m,2016-06-01,5316.0
1003,m,2016-07-01,5308.0
1003,m,2016-08-01,5038.0
